Content,sentiment
mucking guitar rig demo,positive
throat hurt,negative
effy break heart,negative
concert tonight fenwayy hopefully rain stop,positive
unfortunately nowhere near beach fam area,negative
watching rain,neutral
aw man,negative
nah wont sit enjoy view p,positive
kiss screwed ill raggy old cat woman ha im pretty sure,positive
got sniffle dont want get sick dont need,negative
got woken mom entire first floor flooded furniture curtain mom expensive rug soaked ruined,negative
mom texted told rodney chasing firefly backyard im miss,positive
beautiful day wish energy enjoy,positive
darn supposed haiku formatting failed,negative
would think ali found evans web no twitter,neutral
go work,neutral
pet get cancer,negative
hey handsome im packing,neutral
really want buy new clothes,negative
hate not able twitterize cell phone oh well,neutral
isnt lovely isnt beautiful sorry stevie youre not really position make judgement steviewonder,negative
braxton untill wont sleep minute time hard mom day like,negative
walk grand peep lol foot really hurting thought xx,negative
sitting home sick wish cold wuld go away start skool mon yay not much,negative
shopping tonight cant wait lucky bastard already finished work im stuck forever,positive
trying get groove studying heellpp mee,negative
could kill hollyoaks made sad,negative
dont pop well feel lousier playing,negative
need get life together aka apartment cleaned back birthday,negative
gah forgot separate bin maybe bad idea,neutral
ahh everyones today taking sunny weather except might go watch tv,negative
like friday generally class extended today im starving x haha whine op,neutral
im ya doesnt follow either,neutral
weekend standby duty,positive
getting cd ready tour,positive
got back walking school gotta go back around one two heat almost gave stroke,negative
goin work,neutral
know youre working late hear sun setting via twitter,negative
starting phase operation productive pack clothes cant find pink tank top oh no,negative
gonna hot today today ryans last day prek cant believe ive sahm since,positive
ok suppose b followfriday not unfollow friday aw well nice tweeter anyway almost doesnt sound rightlol,positive
presentation finished busted ankle stupido model broke catwalk twice fell hole beautiful bottle green mary janes,neutral
mom car broken feel violated,negative
kill jasmine havent talked age,neutral
ok im frustrated hella dust screen blackberry,neutral
car car hospital nxt day gotta go pick loaner car b bein without wheel day set back heavy,negative
already get update havent yet,negative
lol really gross im hungry there nothin,negative
need nap take train,neutral
not sure make afterall,negative
chance blew suffer consequencesgnite tweeps,negative
kid summer pool taken no tanning girl haiku yayschoolisout sarcasm,negative
oh no well get back lot picture,negative
sister got lunch date dont,negative
bugger didnt know shame people stick nose,negative
ala cant broadcast lunch no bandwidth room,negative
hate florist no rose cassadee tomorrow fricken fag florist people hmmneed something elsehmm,negative
sitting desk wishing thing different,negative
wondering no one else following cmon people,negative
sad pay,negative
hug,positive
not feeling comfortable today,negative
looked great sick yesterday im sorry didnt really make effort say hi preoccupied,negative
shouldve gone right wish could alter time,negative
said no,neutral
cause wasnt,positive
forgot put work clothes dryer also love new slipper,positive
headache,negative
cannot find poetry book wasnt dad im tear room looking dont im gonna sad,positive
hard argue w cause make great point cant wrap heart around one,positive
tracy berwick break achy breaky heart split way hallway,negative
chatted old schoolmate aww miss highschool,positive
ooh soon get meet dung mouse,negative
soo confused day glad back lillestrï¿½m,negative
thing good awesome shooting destination wedding ill miss baby girl day fb,negative
watching final episode er goon subo win britians got talent,neutral
serious,positive
awh last day tour ill miss hangin w child soolets make awesome nite ok,negative
horten moss kï¿½,neutral
ive killing ant today put worker alcohol genetic analysis feel kind bad necessary not nice,neutral
wale st week away wale idk guy school really like,positive
gone restarted twetdeck wanted follow peep got posted frommy friend,negative
energy steadily increasing thankfully cough isnt going away,positive
gutted wont live office girl anymore,negative
hahah yeah problem tomorrow bday dinner terry dont think well see fight,negative
thats always fun clean,positive
starting pack stuff,neutral
car garage not coming anytime soon last time heard gearbox problem still waiting quote,negative
taking brother airport gym,negative
want soo bad,positive
dont wanna see youre,negative
eating lunch school,neutral
hold unemployment hoping get call completed need get daughter school not looking good,negative
ill hopefully get chance play tomorrow hope good otherwise ive wasted many point,neutral
iï¿½m back sorry lot work news,negative
know bro asked shaked fist cat make last night weekend im philly,neutral
bored bored bored nothing today besides work,neutral
not impressed might go away complain much x,negative
ok nevermind photo set private sorry,negative
got home school wake friend father tired,negative
get hair cut morning not looking forward spending weekend alone,negative
life get soo dull sometimes u no around x,negative
think going lennys dont know ahh lol hate making decsions,negative
hate new section school year huhu,negative
im back twitter,neutral
lmaoo omg thank need act damn age id ashamed damn grandpa,neutral
well must say lucky guess mean no chillin concert huh,positive
u never told abt ur date lucky guy im loop,positive
im busy work todayit interferring socializing,negative
wave make ok,positive
tgif morning nonstop need coffee stayed late last night trying get today work done didnt work,negative
juice miss juice fruit,positive
broke girlfriend feeling lonely heartbroken sad time guy n,negative
totally agree dont like everybody close window bus train etc im afraid getting disease,negative
haha actually wont hook internet,neutral
yeaa im sad ive watched live performance peru etc epic wish shed come ni lol xo,negative
mall worked turned depressing place,negative
stupid kubuntu keep freezing thought linux never freeze,negative
say,negative
going disney world lucky bitch,negative
ive got no idea reach birthday brunch location road around west jkt clueless,neutral
oh nancy sorry loss wishing best,negative
slept parent bed hard rock back feel like rock,negative
still work,neutral
exam haha remembrd china buffet king yesterday vair amusing,positive
oh snap,negative
could bought vespa amount money spent,negative
lol zzy office im alone bay,negative
industrial tommorow oh yeah get go see bunch old people go away forever probably cry place,negative
always feel like im betraying trust drop pup groomer,negative
true love brazil australia nitey,positive
soi dont pe pocket artoo,negative
raining,negative
thinkin tryin figure life trick,negative
omg nervous last block speech almost puked horrible bet got bad grade,negative
thought id tanned hour sun wrongive burnt,neutral
heading beach still no fonewoo,positive
supposed cominglife got way lol give friend wild time,negative
want guitar heroworld tour soo bad,negative
soo bored textile,negative
managed find bottle pimms weather go,positive
realized gained pound last year,negative
tgif dont like hour workday need stand run around much sitting plus honest ade tea day yay,negative
flight home awesome trip cousin miss sophia,positive
saying wrong linkit cannot find address,neutral
im really bored brother went get permit stay road jk lol feel like friend abandoned except,negative
yeah suck eh,negative
would live across country,negative
hot office air con broken week fan round office push hot air around really not helping,negative
cool not big user dm though,negative
im still waiting recontinue breathless scent lol,positive
wait sec day left hotdogging not sign,negative
really despair whole copyright situation visually impaired mean dont deserve read sccr,negative
gettn ready take trip jersey dad not good need new heartwhoeva see please say prayer dad,negative
ive got headache,negative
today seems like good day even though fuel pump going car xoxo,negative
didnt wake early enough go roller blading contrary tributary flow endlessly,negative
moving rain not fun last day hampton,negative
michelle slept hour last night im still stick fever,negative
dont like waiting,negative
ya heard giant leap right direction work comp though ill enquire,neutral
not feeling good head work not bad shift not fun dont feel well hope go fast,negative
got hair rebonded korean place dude hair fin fried cut already chopping,positive
wish knew trying figure something,negative
think im running fever not feeling well,negative
im extremely hungry thing house soup dont like soup pout,negative
mouth hurt,negative
looking accessory livescribe smartpen not many source germany,neutral
fun focus grouping no participant yet,negative
hugh laurie mentioned follows twitter thousand idiot think idiot,positive
im lookin news not gonna b warm enough beach,negative
tryin not fall asleep work,negative
missed partyyou must forgive pleasse feel bad,negative
wife lost sprint blackberry bike ride anyone extra bb laying around retweet,negative
need post dont time tour apology supporter,negative
payday yay good bill bill billsim broke already,negative
cant need work overtime project lunchtime sorry,negative
tired work today,negative
ok turn twitter device update get new battery phone go fully charged dead hour,negative
high cholesterol,negative
agree paparazzo waz amazing vid luved felt bad cuz waz leaked watched,positive
whoop got prom date today knew haha cant tell,positive
headed verizon praying pinkberry going make,negative
back salt mine one day work week much,negative
ive picky put mouth hate onion make cry,negative
pee fucking coffee soo long break time letterswhat write writeoh used,negative
lol bank told time,negative
gonna go see sister mount saini shes least another hour,neutral
conjunctivitis left eye sign something wrong deserve thislol im dying people,negative
im not going till wednesday,neutral
disappointed cadbury chocolate block got smaller,negative
want come,negative
im nauseous need yogurt something,negative
hick mean,negative
omgg hhaha noo drag hell evviil angel demon supposedly sucked ohh no haha,neutral
miss baby,negative
yes one final party better make good one much mpre stuff got go,positive
camera brokenn,negative
omg cliff richard song mind lol,neutral
know ever wanted know extinction frog,negative
ive given question thought u may right one host provides hd quality viewer maybe not,neutral
didnt even get chance shop aldi,negative
come online need someone talk,negative
thanks decided give old hq go account scoundrel,negative
wanna leave nd period cryy,negative
really nice outsideim stuck work,negative
gardening stuff ordered got returned sender damage need work get garden centre,negative
fever,neutral
since demise woolworth isnt easy find reasonably priced pick n mix anywhere,negative
half hour im going english lessonguess ill waitand wait couple hour im,negative
think lamb chop would really nice right maybe sushi mm maybe ice lolly co damn hot,negative
back killing stupid softball,negative
nope really want play aswell,neutral
wont ever happen againi feel like let team,negative
tired want play random song gitwar drama essay,positive
still queue barely metre last twittered insane paid,neutral
no text plan phone ill send though youre welcome call,positive
dont know u herd queensland havin bad flood weather want help cant,negative
im stuck traffic jam somewhat starting situation every day thats sad really,negative
irony inventor ford mustang cant keep car via,negative
sorry hear,negative
cant fall asleep,positive
fallen love enter shikari might go walk lady later though,positive
class really long im really getting hungry,negative
not school,neutral
meant go play cricket cant get lift im stuck home watching apprentice lovely day,negative
wish could make quick trip la july miss la,negative
dont wanna miss showsyou guy kick sad saymy plane shop,negative
car died morning top everything happened yesterday whoever put hex please let know wrong,negative
conference call arranged pm today blew leaving early window,negative
dad bury six week ago became left college fourteen year ago long time kitty,negative
gonna go see sister mount sinai shes least another hour,negative
bored class wanna go home,negative
chose one noo betty supposed get end,positive
mustve miami cause havent able drive car since got backit needed oil pump,neutral
lost please help find good home,neutral
well dog still isnt shelter hope someone good,negative
not working,neutral
still angry,negative
lost please help find good home,negative
waking upahh headache,positive
plan not spend money not going well,negative
annoying bc hair product dont perfume smell like ingredient,positive
snuggle backeveryones telling get ive year x,negative
running thing tweet wish could get reply come philippine tweet,negative
hurt bring joy see cry know love anything yet u break heart everyday,negative
foot killing ive walked mile search art shopdoesnt seem like ealing one,negative
rip officer edward may god continue bless family whats wit cop killing cop seen thing happen wire,negative
breaking news gm share currently trading per share,positive
blood test today wasnt bad really needed dash starbucks revive spirit nice iced latte bunyum,positive
bum hurt,neutral
sensor dont seem want last day,neutral
hey heyim finishing th june,positive
first love picture picture whore boyfriend jackie fml havent embraced phone,negative
really wanted go gig tonight,positive
want see drag hell get feeling none friend go w,negative
hope morning show doesnt get cancelled,neutral
feel like crap right one month school left fml hard,negative
give hater hug would dont like mwean people,negative
doesnt think following,positive
dangling belly ring bad investmentthe cutest one always pop,negative
time close today last day today tmr may shed tear,negative
sorry read layoff ill keep thought,negative
soo disapoointed couldnt make next time glad productive,negative
there confuse,negative
really miss,negative
nvm ill stop whatever see th guess,neutral
guess easier said done peoplemyself one unfortunately,neutral
would rather bride last minute wedding stuff instead stuck behind desk someday,negative
sometimes hurt pet cant talk back u pain would tell u,negative
whats wrong,negative
zero thomas,negative
wouldnt let download co said im uk little cry,negative
got hurt helping grandad cut hedge swear spider erugh xx,negative
ahh im engulfed shooes told buy maany damn shoe,negative
fall boy year book,positive
sunburnt factor,positive
applemouse doesnt work shiny red coffee table,negative
not working,negative
learned lesson hard way lost usb stick backup month old,negative
ala no normal night monday quiz night,neutral
yeah tough time,negative
sorry bout cat,neutral
almost june im bundled nasty as weather want lay sun patio near rose,negative
wow thats impressive luckily im not rush feel friend arent getting younger cant move house tricky,negative
finished zombie chronicle day ago bittersweet need something new gym,positive
eye starting hurt late must reach update due tweet sent youu philippine tour pleease,negative
car almost definately going written garage rang said work cost k insurance co,negative
another day jury duty,negative
im still awake coulndt go back sleep,negative
xdxdxd crazy little thing didnï¿½t get train hug,positive
sitting work waiting day always friday take forever wish weekend would get already,negative
first thought ive never even watched dragonball,neutral
hey honey bear dont goo puhleezee,negative
time,neutral
soo tired,neutral
dont mean sound like overgrown age baby im still stick not bad yesterday still bad,positive
one moment woke,positive
yeah guess make sad though becase disc scratched,negative
got woken early kinda wana chill today there much,negative
stupid msn wont let onn,negative
disappointed human kind whats wrong world five girl garden innocently enjoying good weather,negative
toothache,negative
working god hate haha,negative
feeling sick stomach today,negative
upset see carys donna go today miss hugely already yes ok like hour haawaah,negative
woke morning thinking saturday,negative
want play,positive
park slope brooklyn working bust photoshoot exciting no fever tonsil size golfballs,positive
lol well girl didnt girl made tip lady put booby face,negative
marina sware god ill never end studying french till oclock night ever againtoo much dramasoo sleepy,negative
im sorrydeep breath started program called panicawayit worked wonder,positive
sad face,negative
hour go no football,negative
need serious cheering,negative
not feeling day left glass peace unity,positive
oo back good time argh hurtss xx hate headache,negative
sitting home wishing didnt work today ask still work,negative
thanks follow wish plan open shoppe tc economy turn,positive
mind automatically wake huge fail summer good morning nonetheless gonna get ready work,neutral
close entering pogue book today world according twitter yet seem far,negative
venus french open,neutral
road miss traveling traveling partner,negative
excited although train going delayed,negative
sad daylakers please make happy w,negative
no school time cuz im sick,negative
nice start holiday,positive
no sucky,neutral
need bigger mp player even pain say,negative
aaw no window open,negative
honestly cannot figure twitter thing,neutral
no one talk anymore,positive
wish could go meet middle tomorrow,negative
finally figured felt bad canc group wanted take med nothing back still hurt,negative
ive late week watching jay leno tonight last show hell move pm not sure material bsame,neutral
getting ready work working weekend,neutral
super stressed,negative
experimenting puppet think wiped drive workstation,neutral
sad go work cuz terminedas last dayand little monkey last day,negative
everything,neutral
tgif gorgeous day reno today im stuck inside,positive
well tomorrow miss,neutral
rickrolld itunes shuffle,negative
fuck ipod freezing need,negative
thanks lady bummer sure,positive
there fly room,positive
student walked balling witnessed dog getting hit street dont know cheer,negative
feeling hurt,negative
hn meetup thought going decided bail last second,neutral
aww cuute mine follows shower peeï¿½s wherever go refuse lay still bed,neutral
missing much work cant spend time get paid lol,negative
oh manmy fiance got work start mine hourso not fair,negative
waiting minami london cobra im going miss load,negative
want car back,negative
forgot traffic heading foxford mayo lovely pontoon tomorrow,negative
woke walked room bug flew eye,negative
wanted u leave pm showing staff retreat mini,negative
work back baby house,positive
yes thanks change obama start mail ordering,neutral
turned alarm morning thought saturday rush get ready work def not saturday fail,negative
hate revision,negative
wish va,negative
watchin tv yesterday medium u u number five think worst beach body ur butt,neutral
puppy not feeling good today,negative
anyone else woken one day felt like acquired near sightedness night everything blurry sudden,negative
geoff posted boo coming home tenerife boo,neutral
geoff posted boo coming home tenerife boo,positive
wasnt nice,negative
didnt read detail may sara jayne kid show cant exciting,neutral
also want th miss girlies much get roomy,neutral
guy lived city pariswhere u spend entire life trafficjamgrr not used anymore,neutral
go home cry,neutral
frank ups last day today sad see go best delivery guy ever hope new guy not fucktard,negative
dont worry babe,positive
dont think ill ever one,negative
im not going dad tonight he got foot pool tell he got thing im not going twat,positive
yes made sign noticed missing sunday far no luck unlucky japanese cat,negative
train bristol london terrible no wifi,negative
suck,negative
no sun floridaits rainy cloudy,negative
sad dad dy hakuna matana mean no worry,negative
normal masseusse fully massage buttock swear quarter inch medical exam,negative
lens mm couldnt,negative
got appt w doctor pm today look bite hoping isnt infection need powerful antiitch cream,negative
visit la ventana de los cielos foundation pushed bck week excited go meet kid ill wait another wks,positive
picking couple toy tonight mm f yay weekend though,positive
didnt sleep good last night woke another bellyache whats wrong mee,negative
haha talking colleague dm actual message not spam,positive
surely knew hand good book hand held essential no psps unless charger,positive
bbqs might buy disposable one time,neutral
cant sorry dont call lame,neutral
poor boy cry sad,negative
yepsadly min meeting,negative
yes haha impaled crossed key love scottishtryingtobeirish ewan mcgregor,positive
work,positive
final thought day deodorant really make lung bleed inhaled constantly certain female paranoid bo,positive
thinking wow survived freshman yearmission accomplishednow sophomore year,positive
ouch back man im sick,negative
no theatre next year stupid schedule,negative
lost please help find good home,negative
no news kid cant find parent,negative
class trying listen really like twitter facebook myspace oh yeaah im hungry,positive
hmmï¿½being home isnt great,neutral
im point become apparent degree mean jack shit,neutral
want magic mountain tix dont get ur station paso boo sux,neutral
shirt fuzz magnet today feel totally uncomfortable,negative
trying best not share lovely head cold,neutral
art history quiz didnt study,negative
ive locked mac twice time ok literally twice,neutral
gave cable tough economic time either cable shoe know cable lost,negative
dang disappointing,negative
wicked dvbs tuner card arrived although not sure ill able get set ready fa cup final tomorrow,positive
stupid hip hate cant even break new kick grr,negative
tgifi wish saying applied work saturday,negative
getting sat afternoon think no costume yet womp wompp,negative
sad assembly next block,neutral
yearold girl battle rare breast cancer,neutral
wish dallas still say ow lol hey u spelled name wrong good thanks ff love,positive
unfortunately didnt see spreading poo,negative
work,neutral
woo hulu desktop poor mac kinda struggling though poor little core duo cant keep,negative
matter heart complicated,negative
son surgery yesterday mommy son time wont long today,positive
word barely describe shitty feel morning work driving madison play discotech driving alone,negative
think bead crumb navigation return new fusion studio really miss top item,neutral
damn miss bf,negative
many thing missed tweeting,neutral
no slow hate getting trailhead not getting,negative
im sorry dont understand people expect everyone react thing poise,negative
sorry hear carol,negative
im missin u guy day ill b tomorrow butt see u june th blockk,negative
jam island till im havin migraine,negative
ive gotten cold every time ive flown somewhere hr away past year hope back poolon bike next week,negative
join club,neutral
raining,negative
forgot montel quote good one,neutral
r u spinning hookah rip,negative
day get big mac as outta herework beckons ill talk later,negative
uh waiti thought thtonight,neutral
flew brisbane lax today great flight love light shame one drink limit though,positive
thats doting husband lol hope brace go eat normally,negative
well im glad im not one mine bad im resort pulling old hairband disguise,negative
thought unfair ppl n got depressed hater,negative
slight headache,negative
guy gonna get metal detector brickmans saw chad ask davey fb sorry bout ring,neutral
decide sprain mine bothering never checked,negative
stuck home bc mom sick haz not moniez,negative
make better robbed,negative
noo working weekend,negative
link didnt work,neutral
em got big list today hubby work weekend going u think,positive
weekend aboutto suck,negative
like roll eye im curious hell good singing real treat far im concerned,neutral
didnt get clear,positive
reentered brain orbit thanks watching ryan reynolds mugging away friend recently,positive
im going stop tweeting lsat studying,negative
wish could pole got no space maybe throw furniture get pole,negative
going without skype haha,negative
oh man going connect old school nintendo play mario game not bag gotta search,positive
miss jeep bum ride dreaded horrid walmart boo,negative
damn fallout hard game,negative
one cat sick,negative
thursday really necessary u ever heard school horrible mum,negative
sachie yna doesnt know password yet,neutral
chroma key coolness cumulus seminar going online couldnt see live feed,negative
film didnt come camera broken lamesauce,negative
im super hungry waiting biotch feed,positive
yessum well see year go maybe head back oct rate go wanted go bday,negative
argh cant avoid spelling bee spoiler anywhere know winning speller word actually watched bee,positive
think im break heart emo sound meh,negative
tired n want sleep bed,neutral
dammit cant watch stadium music,negative
got nasty argument someone normally like much doesnt forgive well either,positive
waste way much paper office nothing worthy almost disgust,negative
love really simple think word put twi front clever,neutral
galbladia garden shit hard,positive
chillin im bit bored boohoo,positive
laying bed sore snuggeling domino dont wanna work today,negative
aint blanco eitheryo puerto rican mamiyo show muy amor yi tubut yo no se,neutral
haha lol goingi havent really lolive hobbitn mum like keep revisin beck,negative
would love guy toured really philippine tour,positive
raining cant go jogging house gym,negative
ahh hate bbrush teeth hard make gum bleed,neutral
soi really want home right,neutral
thought going fun day,negative
work getting quick bite eat kill wrist self addressing envolopes,negative
hot hell mess wish would gone arlington zeta,neutral
know feel lovely relaxing weekend,positive
felt one tooth without brace bracket got soo hype,negative
glad youre alright,neutral
moving nesbitt,neutral
im disgusted assumption regarding happened harlem last night correct without reading story first,negative
oh foa real didnt really keep going many diff story n stuff hey wish neva,negative
poor wife im laid another hour doctor order cant much dealing screaming baby,negative
youre mean youre gonna pizza tonight go,positive
oh dear im sorry laughed,positive
omfg dude look well ard put shame,positive
think he gangsterr as dont even fit g unit know,positive
unusual,neutral
dont hope take good long recover,positive
phyllis hyman unsung story sad,negative
dear astop snoring b move middle bed please,negative
site republish blog feed often end higher blog google search result,neutral
coming indianapolis,positive
hair straight lmao,neutral
told guy going get pass going see downtown disney yay,positive
moving make sore dunno gonna make getting close,negative
microeconomics project ihate subject beside english ilets exam tomorrow waa help,negative
shoe hurt foot,negative
loving warm weather get rain please water bill going bad,negative
work huge headache,negative
anthem right dont leave high dry,positive
feel like shit,negative
oh dear thats disturbing coffee connoisseur died little,negative
omg daont tell watched twilight enuff know,positive
yeah bad,negative
youtube isnt workingand wanted watch britain got talent im debating pity party,negative
emoticon christian,neutral
yep,neutral
cant make nyc im huh,neutral
got people dont let skip sci pratical becos skola impt dont waste parent money nt fair,negative
woot interview went awsome didnt get talk mr johnny thought oh well still really good,positive
wow fastnext soderling ferrer gilles simon lost,positive
knee sore physio,negative
hate put toddler disposable rash need ointment hate rash even worse,negative
dollarama wish new job,positive
im tweeting hard dont get,negative
looking show turn brain mush doesnt hurt anymore good free online one know,neutral
coffee got cold blah,negative
look nothing like twitter avatar,negative
lost phone,negative
suddenly want chinese food worst way not really great ontherun food packed sandwich lunch anyway,neutral
keep trying hurt arent tear ive cried past month enough,negative
always sunny day cant possible outside life get,negative
get mom feel horrible must think thats not meant thought itd better brunt,negative
really look like boy need someone hair,negative
day slow internet,negative
omgoodness back school soon fun,positive
im ad another week visa work,neutral
seeing mcfly philippine soon,negative
cant yet back ive run text ill ring laters xoxo,negative
tired headache no like sunshine,negative
im blip cant get work iphone,negative
got people dont let skip sci pratical becos skola impt cannot waste parent money nt fair,negative
cold,neutral
listening music box mariah could still sing,positive
died kp gonna upgrade spell first heading back eq,negative
hate living fl missing ga like crazylike say dont know got till gone ga mind,negative
managed finally get someone left message earlier today old dog already put sleep,positive
finally way home,positive
crap break no work weekend rule much overloaded work aargh hate,positive
revising uni exam looming,negative
ym meebo ebuddy really hate u,negative
im going miss senior much dont goo,negative
poor nicole absolutely destroyed cell phone,negative
time three shift row woke work five minute late ugh,negative
im listening people saying eww current frog disection poor froggy,negative
finished breaking dawn last night managed finish page day good im sad im done w twilight saga,positive
kate leaving lonesome,neutral
mï¿½y em mï¿½ torrent thï¿½ bï¿½ ch trï¿½n nhï¿½ ang thiï¿½n long li chy xung iu tra,neutral
aww sunthings wrong w ubertwitter last nite,negative
sell medieval trading pavillion v sad,negative
really gone chiropractor week today neck hurt bad,negative
ordered new computer unfortunately wont get end june,negative
two dozen rose sent overnight delivered morning found recipient town sad,negative
dont hate youre left one slice bread left bag half sandwich,positive
get drive dad airport fly vega wsop wanna go vega,positive
holiday soo boring,negative
eww printed new id badge thingie work n eww picture took many n ugly,negative
say goodbye two best intern elevate ever,positive
bad migrane need go dancing tonight not good combination,neutral
geographie next hate,negative
wondering ankle ever stop hurting,negative
guess soul searching time since im home alone no one talking,negative
well atm anyway im managing co no musical talent p horrible thing say bout rove,negative
two ticket amadou miriam tue june cant use anyone want em thats face value good,positive
im sorry mac get onee,neutral
week flew want go see soo badly weekend,positive
stink anyway,neutral
took cutest pic andy yesterday dont used bros fancy dslr didnt time upload want,positive
really hurt really suck dont know fix seriously,negative
really wish could convince brandon move somewhere like want move lexington,neutral
forgot put sunblock getting car,negative
rip curl,neutral
always hope die see old one make sad,negative
didnt go gym today feel bad,negative
guessed leg havent healed old injury still run though kick ball haha sometimes fell sharp pain,negative
london car thats degree no air con,neutral
man miss truck much return cause month in month,neutral
yeah isnï¿½t prom germany although school almost everywhere,negative
going home get clothes,neutral
paypal hate refuse let verify account,negative
least bug bite leg,negative
commie finest youtube blogger blocked china no update u china great wall conquered,negative
whats name mixtape mixtape connect moved texas gotta find new guy,neutral
round way ahve copy public contact personal contact first no big deal,neutral
failing cooking lately makin sad duno cook less army need practice flour tortilla,negative
sound painful sorry got hurt may ask happen,negative
scott leaving,positive
need get back daily tweeting hiatus suck also suck gsn interrupting show theyre airing,negative
god opened cloud said hate josh,negative
crangrape lunch,neutral
hi frenchie ill thatlater p,negative
well go peace corp prospect,negative
samee well aint man girl obv nd lol aint no special not famous rich wish tho xx,positive
gee im totally hatin like real mean like duh ive studied enough need refreshing tonite hard,neutral
work day,neutral
female male year old lab looking new home family loosing home must stay together contact interested,neutral
cant find youtube concert versionshelp,negative
still havent figured sadly itll take research know whats,neutral
oh great,positive
wish could special someone,neutral
forgot much hate pizza delivery manalapan marlboro scum,negative
theyre not,negative
omfg head,negative
job suck,negative
sorry missed,negative
hate stinkin tired everyday hard get upi thought supposed start getting energy back,negative
think might like twiterfon better tweetie recent upgrade twiterfon great none tweetie,negative
dj gig no bk hh fest please keep posted live date,positive
busy day no time tweet bmore whats happening weekend,negative
eating hall cuz sour throte,neutral
not good enough,negative
well go work,neutral
miss friend plav time long day work hahah,negative
tired,negative
michael porter haunting ugh five force dont remember strategy competitive advantage,negative
pretty took like hour urss,negative
fuck tony,negative
cash looking tradescant find,neutral
bummer going try make commitment im afraid got way next time hopefully,negative
totally except cant ride sidewalk like kid lot safe road crazy driver,positive
hope find store take u,positive
tired sad,negative
shopping therapuetic im bettering need financing therapy however,positive
wet dirty one,neutral
look like another sober weekend ahead,positive
tried edit page couldnt add name pop list please,negative
thats not good,negative
loadsa shizze happend im upset,negative
miss laughing till stomache hurt,neutral
life suck,negative
glad nice gray sky rainy wisconsin,positive
waiting yet please let,negative
ugh poor beautiful girl went new tire inspection sticker there repair still no tire,negative
careless vocal,negative
freesats coverage sky dish really really bad moment block place really annoying,negative
irritated send email not receive,negative
computer died,negative
conference call hp gave invalid pas code cant attend,negative
thought splitting estate depressing course kidding dont like thought parent dying,negative
im dead bored also dead poor student life piss take,negative
weve got pool still boxed need level suitable patch ground set,neutral
playing guitar hero let steam see mr unreliable striked not funny,positive
massive headache,negative
fridayand sun outbut im working inside,positive
goodbye mountain fb,neutral
head thumping,negative
hate fallout keep making jump im also low health money ammo food dont worry ill get,negative
annoyed missed mitch benn lemon tree damn whats,negative
oh no crashed ball pump,negative
truei never like never,negative
open office writer weird need word open word document correctly,negative
oh no puma hoodie coming apart love thing,positive
need go sleep tonight exhausted,neutral
wish garden could bbq tonight might set lounge bbq type thing thatll work fridayfirehazzard,negative
rain pours true im sorry hate kinda time,positive
sad day told student last year lot cry since,negative
slovakian country side refreshing change compared tarmac car city boy need tarmac,negative
aww thats horrible xd,negative
dont leave forever well miss much,negative
yes seems way page not found,neutral
work,neutral
oh tired,negative
dont know yet no word hopeful though good stuff happening lately im getting excited,positive
ive,neutral
laptop thrown paddy bouncing half live set wavs need new laptop new copy ableton hey ho mtfbwy,neutral
thought safe injection today find mom one wholl inject vaccine help,negative
no bug coding go forum reg let know work,neutral
poor phone nekkid without cover,negative
according quarter family six live poverty,negative
sorry im not using tweetdeck not letting tweet today,neutral
u beat urself lot stop please like nike lol,neutral
ate hot food,neutral
think prize end sorry hear though,negative
realy wanted go cause nice everybodys busy,positive
dont hate craving something eat go get end disappointed ugh,negative
thats no fun server change,neutral
haha im going turn thingsbut cant tweet phone stupid spammer,neutral
im sorry hope shes ok xx,negative
im always little sad see follower really like decide unfollow,negative
mine curly atm want mine straight lmao,positive
got need leave class hour,positive
well thats exam failed bsc gone,negative
grr people suck cry animal die nature show people sick no hunting endangered specie,negative
archie andrew thinking veronica,negative
beat dont understand,neutral
hardly worked last two week losing weight fear im losing muscle made doc appt injured foot,negative
taking deep deep breath,neutral
disneyland blast yesterday back work,neutral
saw load ambulance police car car smashed roof lying road thats man dead sure,negative
brilliant day today got car washed got washing done go work hour,neutral
unfortunately yesnot outside,neutral
according quarter family child six live poverty,negative
no annoying make u girl follow sport knowledgable look dumb,negative
im hard time using hulu u heard anyone problem us window vista,negative
need cancel appt home washing machine repair man sorry,negative
aww boy no beard liked manly manness via asylm,positive
sorry jj missed post ill make sure next time,negative
half class called retarded hurt real,negative
yay playing show tonight boo gonna soggy im work right playing,negative
rip omar edward killed friendly fire nyc,negative
havent good homemade flour tortilla age,positive
know im wrong give one chance sent,negative
big brotherand im done,neutral
aw no feel better mandy hope arent getting sick least know nurse hehe,positive
lmaaoo horrible poor thing,negative
shower back bed sick still,negative
everything annoying today,negative
anyone got goss yet supernatural convention birmingham waiting patiently,neutral
weather suck apush filming become maybe least banquet tonight,negative
cheer mate still getting wednesday ok incredibly wealthy man,negative
hatee history rock,negative
hand hurt,negative
lucky girl work day tomorrow maybe even monday,negative
kinda bummed im gonna miss return bg ill never know like make love,negative
aww mate thats shitter,negative
never arrived wait monday,negative
ow hurt,neutral
need cheering,negative
listening legally blonde musical soundtrack lamenting not going anymore perhaps buy nosebleed seat go alone,neutral
cash u kno im not haterjus upset dont update yet,neutral
ugh im sleepy think im still kinda sick,negative
venus williams horrible day office,negative
not pimms,neutral
